(00,00) ' ' stk=[]
(01,00) ' ' stk=[]
(02,00) ' ' stk=[]
(03,00) ' ' stk=[]
(04,00) ' ' stk=[]
(05,00) ' ' stk=[]
(06,00) ' ' stk=[]
(07,00) ' ' stk=[]
(08,00) ' ' stk=[]
(09,00) ' ' stk=[]
(10,00) ' ' stk=[]
(11,00) ' ' stk=[]
(12,00) ' ' stk=[]
(13,00) ' ' stk=[]
(14,00) ' ' stk=[]
(15,00) ' ' stk=[]
(16,00) ' ' stk=[]
(17,00) ' ' stk=[]
(18,00) ' ' stk=[]
(19,00) ' ' stk=[]
(20,00) 'v' stk=[]
(20,01) '<' stk=[]
(19,01) ' ' stk=[]
(18,01) '"' stk=[]
(17,01) ' ' stk=[]
(16,01) ':' stk=[32]
(15,01) 'g' stk=[32, 58]
(14,01) 'a' stk=[32, 58, 103]
(13,01) 'l' stk=[32, 58, 103, 97]
(12,01) 'f' stk=[32, 58, 103, 97, 108]
(11,01) ' ' stk=[32, 58, 103, 97, 108, 102]
(10,01) 'e' stk=[32, 58, 103, 97, 108, 102, 32]
(23,24) '>' stk=[33, 33, 33, 33, 69, 80, 79, 78]
(24,24) ':' stk=[33, 33, 33, 33, 69, 80, 79, 78]
(25,24) 'v' stk=[33, 33, 33, 69, 80, 79, 78, 78]
(25,00) ' ' stk=[33, 33, 33, 69, 80, 79, 78, 78]
(25,01) '_' stk=[33, 33, 33, 69, 80, 79, 78, 78]
(24,01) ',' stk=[33, 33, 33, 33, 69, 80, 79, 78]
(23,01) '^' stk=[33, 33, 33, 33, 33, 69, 80, 79]
(23,00) '^' stk=[33, 33, 33, 33, 33, 69, 80, 79]
(23,24) '>' stk=[33, 33, 33, 33, 33, 69, 80, 79]
(24,24) ':' stk=[33, 33, 33, 33, 33, 69, 80, 79]
(25,24) 'v' stk=[33, 33, 33, 33, 69, 80, 79, 79]
(25,00) ' ' stk=[33, 33, 33, 33, 69, 80, 79, 79]
(25,01) '_' stk=[33, 33, 33, 33, 69, 80, 79, 79]
(24,01) ',' stk=[33, 33, 33, 33, 33, 69, 80, 79]
(23,01) '^' stk=[33, 33, 33, 33, 33, 33, 69, 80]
(23,00) '^' stk=[33, 33, 33, 33, 33, 33, 69, 80]
(23,24) '>' stk=[33, 33, 33, 33, 33, 33, 69, 80]
(24,24) ':' stk=[33, 33, 33, 33, 33, 33, 69, 80]
(25,24) 'v' stk=[33, 33, 33, 33, 33, 69, 80, 80]
(25,00) ' ' stk=[33, 33, 33, 33, 33, 69, 80, 80]
(25,01) '_' stk=[33, 33, 33, 33, 33, 69, 80, 80]
(24,01) ',' stk=[33, 33, 33, 33, 33, 33, 69, 80]
(23,01) '^' stk=[10, 33, 33, 33, 33, 33, 33, 69]
(23,00) '^' stk=[10, 33, 33, 33, 33, 33, 33, 69]
(23,24) '>' stk=[10, 33, 33, 33, 33, 33, 33, 69]
(24,24) ':' stk=[10, 33, 33, 33, 33, 33, 33, 69]
(25,24) 'v' stk=[33, 33, 33, 33, 33, 33, 69, 69]
(25,00) ' ' stk=[33, 33, 33, 33, 33, 33, 69, 69]
(25,01) '_' stk=[33, 33, 33, 33, 33, 33, 69, 69]
(24,01) ',' stk=[10, 33, 33, 33, 33, 33, 33, 69]
(23,01) '^' stk=[0, 10, 33, 33, 33, 33, 33, 33]
(23,00) '^' stk=[0, 10, 33, 33, 33, 33, 33, 33]
(23,24) '>' stk=[0, 10, 33, 33, 33, 33, 33, 33]
(24,24) ':' stk=[0, 10, 33, 33, 33, 33, 33, 33]
(25,24) 'v' stk=[10, 33, 33, 33, 33, 33, 33, 33]
(25,00) ' ' stk=[10, 33, 33, 33, 33, 33, 33, 33]
(25,01) '_' stk=[10, 33, 33, 33, 33, 33, 33, 33]
(24,01) ',' stk=[0, 10, 33, 33, 33, 33, 33, 33]
(23,01) '^' stk=[69, 0, 10, 33, 33, 33, 33, 33]
(23,00) '^' stk=[69, 0, 10, 33, 33, 33, 33, 33]
(23,24) '>' stk=[69, 0, 10, 33, 33, 33, 33, 33]
(24,24) ':' stk=[69, 0, 10, 33, 33, 33, 33, 33]
(25,24) 'v' stk=[0, 10, 33, 33, 33, 33, 33, 33]
(25,00) ' ' stk=[0, 10, 33, 33, 33, 33, 33, 33]
(25,01) '_' stk=[0, 10, 33, 33, 33, 33, 33, 33]
(24,01) ',' stk=[69, 0, 10, 33, 33, 33, 33, 33]
(23,01) '^' stk=[110, 69, 0, 10, 33, 33, 33, 33]
(23,00) '^' stk=[110, 69, 0, 10, 33, 33, 33, 33]
(23,24) '>' stk=[110, 69, 0, 10, 33, 33, 33, 33]
(24,24) ':' stk=[110, 69, 0, 10, 33, 33, 33, 33]
(25,24) 'v' stk=[69, 0, 10, 33, 33, 33, 33, 33]
(25,00) ' ' stk=[69, 0, 10, 33, 33, 33, 33, 33]
(25,01) '_' stk=[69, 0, 10, 33, 33, 33, 33, 33]
(24,01) ',' stk=[110, 69, 0, 10, 33, 33, 33, 33]
(23,01) '^' stk=[116, 110, 69, 0, 10, 33, 33, 33]
(23,00) '^' stk=[116, 110, 69, 0, 10, 33, 33, 33]
(23,24) '>' stk=[116, 110, 69, 0, 10, 33, 33, 33]
(24,24) ':' stk=[116, 110, 69, 0, 10, 33, 33, 33]
(25,24) 'v' stk=[110, 69, 0, 10, 33, 33, 33, 33]
(25,00) ' ' stk=[110, 69, 0, 10, 33, 33, 33, 33]
(25,01) '_' stk=[110, 69, 0, 10, 33, 33, 33, 33]
(24,01) ',' stk=[116, 110, 69, 0, 10, 33, 33, 33]
(23,01) '^' stk=[101, 116, 110, 69, 0, 10, 33, 33]
(23,00) '^' stk=[101, 116, 110, 69, 0, 10, 33, 33]
(23,24) '>' stk=[101, 116, 110, 69, 0, 10, 33, 33]
(24,24) ':' stk=[101, 116, 110, 69, 0, 10, 33, 33]
(25,24) 'v' stk=[116, 110, 69, 0, 10, 33, 33, 33]
(25,00) ' ' stk=[116, 110, 69, 0, 10, 33, 33, 33]
(25,01) '_' stk=[116, 110, 69, 0, 10, 33, 33, 33]
(24,01) ',' stk=[101, 116, 110, 69, 0, 10, 33, 33]
(23,01) '^' stk=[114, 101, 116, 110, 69, 0, 10, 33]
(23,00) '^' stk=[114, 101, 116, 110, 69, 0, 10, 33]
(23,24) '>' stk=[114, 101, 116, 110, 69, 0, 10, 33]
(24,24) ':' stk=[114, 101, 116, 110, 69, 0, 10, 33]
(25,24) 'v' stk=[101, 116, 110, 69, 0, 10, 33, 33]
(25,00) ' ' stk=[101, 116, 110, 69, 0, 10, 33, 33]
(25,01) '_' stk=[101, 116, 110, 69, 0, 10, 33, 33]
(24,01) ',' stk=[114, 101, 116, 110, 69, 0, 10, 33]
(23,01) '^' stk=[32, 114, 101, 116, 110, 69, 0, 10]
(23,00) '^' stk=[32, 114, 101, 116, 110, 69, 0, 10]
(23,24) '>' stk=[32, 114, 101, 116, 110, 69, 0, 10]
(24,24) ':' stk=[32, 114, 101, 116, 110, 69, 0, 10]
(25,24) 'v' stk=[114, 101, 116, 110, 69, 0, 10, 10]
(25,00) ' ' stk=[114, 101, 116, 110, 69, 0, 10, 10]
(25,01) '_' stk=[114, 101, 116, 110, 69, 0, 10, 10]
(24,01) ',' stk=[32, 114, 101, 116, 110, 69, 0, 10]
(23,01) '^' stk=[116, 32, 114, 101, 116, 110, 69, 0]
(23,00) '^' stk=[116, 32, 114, 101, 116, 110, 69, 0]
(23,24) '>' stk=[116, 32, 114, 101, 116, 110, 69, 0]
(24,24) ':' stk=[116, 32, 114, 101, 116, 110, 69, 0]
(25,24) 'v' stk=[32, 114, 101, 116, 110, 69, 0, 0]
(25,00) ' ' stk=[32, 114, 101, 116, 110, 69, 0, 0]
(25,01) '_' stk=[32, 114, 101, 116, 110, 69, 0, 0]
(26,01) ' ' stk=[116, 32, 114, 101, 116, 110, 69, 0]
(27,01) '@' stk=[116, 32, 114, 101, 116, 110, 69, 0]
